2011,01,14, 1000000.0
2011,01,18, 988255.0
2011,01,19, 985540.0
2011,01,20, 985980.0
2011,01,21, 984780.0
2011,01,24, 1001300.0
2011,01,25, 1008540.0
2011,01,26, 1006940.0
2011,01,27, 1007060.0
2011,01,28, 999620.0
2011,01,31, 1010780.0
2011,02,01, 1027700.0
2011,02,02, 1027620.0
2011,02,03, 1026690.0
2011,02,04, 1029400.0
2011,02,07, 1033390.0
2011,02,08, 1046200.0
2011,02,09, 1040440.0
2011,02,10, 1035540.0
2011,02,11, 1044160.0
2011,02,14, 1045290.0
2011,02,15, 1039770.0
2011,02,16, 1042080.0
2011,02,17, 1046480.0
2011,02,18, 1053700.0
2011,02,22, 1022270.0
2011,02,23, 1016300.0
2011,02,24, 1016160.0
2011,02,25, 1023420.0
2011,02,28, 1025180.0
2011,03,01, 1004900.0
2011,03,02, 1005690.0
2011,03,03, 1011666.0
2011,03,04, 1008696.0
2011,03,07, 1005276.0
2011,03,08, 1009506.0
2011,03,09, 1015950.0
2011,03,10, 1009038.0
2011,03,11, 1009776.0
2011,03,14, 1007904.0
2011,03,15, 1003638.0
2011,03,16, 992802.0
2011,03,17, 994926.0
2011,03,18, 998004.0
2011,03,21, 1001226.0
2011,03,22, 1001802.0
2011,03,23, 1004556.0
2011,03,24, 1005474.0
2011,03,25, 1009326.0
2011,03,28, 1007868.0
2011,03,29, 1010586.0
2011,03,30, 1011882.0
2011,03,31, 1010928.0
2011,04,01, 1013088.0
2011,04,04, 1013052.0
2011,04,05, 1012584.0
2011,04,06, 1012674.0
2011,04,07, 1013286.0
2011,04,08, 1012692.0
2011,04,11, 1012512.0
2011,04,12, 1011252.0
2011,04,13, 1012512.0
2011,04,14, 1014348.0
2011,04,15, 1016580.0
2011,04,18, 1016094.0
2011,04,19, 1015122.0
2011,04,20, 1013952.0
2011,04,21, 1020306.0
2011,04,25, 1019208.0
2011,04,26, 1020684.0
2011,04,27, 1024068.0
2011,04,28, 1024806.0
2011,04,29, 1024446.0
2011,05,02, 1027272.0
2011,05,03, 1028568.0
2011,05,04, 1024518.0
2011,05,05, 1020630.0
2011,05,06, 1021404.0
2011,05,09, 1021782.0
2011,05,10, 1024086.0
2011,05,11, 1022502.0
2011,05,12, 1027434.0
2011,05,13, 1023258.0
2011,05,16, 1021350.0
